,precision,recall,f1-score,support
0,0.9682539682539683,0.9682539682539683,0.9682539682539683,63.0
1,0.9814814814814815,0.9814814814814815,0.9814814814814815,108.0
accuracy,0.9766081871345029,0.9766081871345029,0.9766081871345029,0.9766081871345029
macro avg,0.9748677248677249,0.9748677248677249,0.9748677248677249,171.0
weighted avg,0.9766081871345029,0.9766081871345029,0.9766081871345029,171.0
